com.samsung.shealth.tracker.pedometer_day_summary,6190043,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
474,d2135dc1-454d-4635-a7c6-891e1a42fb51.binning_data.json,264794,10000,0,00:01.4,com.sec.android.app.shealth,00:01.4,,1.2977588,343.63998,15.629999,474,EIy+BrLOSY,com.sec.android.app.shealth,0,d2135dc1-454d-4635-a7c6-891e1a42fb51.achievement.json,d2135dc1-454d-4635-a7c6-891e1a42fb51,1.62458E+12
3230,19901078-234e-43ec-a4fa-1bc698ffbb52.binning_data.json,1671853,10000,31,00:02.7,com.sec.android.app.shealth,00:02.7,,1.3992671,2339.37,104.569984,3199,EIy+BrLOSY,com.sec.android.app.shealth,0,19901078-234e-43ec-a4fa-1bc698ffbb52.achievement.json,19901078-234e-43ec-a4fa-1bc698ffbb52,1.62449E+12
9094,86b50090-5676-4a63-aeb3-d57cf361ab77.binning_data.json,4375352,10000,433,00:01.5,com.sec.android.app.shealth,00:01.5,,1.5491369,6778.02,314.73996,8661,EIy+BrLOSY,com.sec.android.app.shealth,0,86b50090-5676-4a63-aeb3-d57cf361ab77.achievement.json,86b50090-5676-4a63-aeb3-d57cf361ab77,1.62441E+12
1618,e6821c02-58e1-4504-9760-94cfe7981f02.binning_data.json,901782,10000,0,07:25.6,com.sec.android.app.shealth,05:30.0,e6821c02-58e1-4504-9760-94cfe7981f02.source_info.json,1.2666905,1142.28,53.789997,1618,VfS0qUERdZ,com.sec.android.app.shealth,0,e6821c02-58e1-4504-9760-94cfe7981f02.achievement.json,e6821c02-58e1-4504-9760-94cfe7981f02,1.62346E+12
3925,729387ca-fd0e-4a5a-9d63-5690514fd822.binning_data.json,2064904,10000,26,39:06.6,com.sec.android.app.shealth,31:59.6,729387ca-fd0e-4a5a-9d63-5690514fd822.source_info.json,1.3803256,2850.24,125.42999,3899,VfS0qUERdZ,com.sec.android.app.shealth,0,729387ca-fd0e-4a5a-9d63-5690514fd822.achievement.json,729387ca-fd0e-4a5a-9d63-5690514fd822,1.62389E+12
4654,e1015733-fea1-43fa-8665-0d34e3d031b0.binning_data.json,2322759,10000,71,07:59.2,com.sec.android.app.shealth,05:41.9,e1015733-fea1-43fa-8665-0d34e3d031b0.source_info.json,1.4575078,3385.44,154.95,4583,VfS0qUERdZ,com.sec.android.app.shealth,0,e1015733-fea1-43fa-8665-0d34e3d031b0.achievement.json,e1015733-fea1-43fa-8665-0d34e3d031b0,1.6238E+12
4536,80bfbacf-2224-4ff5-9f20-e31d8820cadd.binning_data.json,2260086,10000,9,52:18.7,com.sec.android.app.shealth,47:58.9,80bfbacf-2224-4ff5-9f20-e31d8820cadd.source_info.json,1.4489796,3274.82,144.56998,4527,VfS0qUERdZ,com.sec.android.app.shealth,0,80bfbacf-2224-4ff5-9f20-e31d8820cadd.achievement.json,80bfbacf-2224-4ff5-9f20-e31d8820cadd,1.62372E+12
1955,3e5b9009-0775-4ed7-9b9e-7cb667191389.binning_data.json,1037095,10000,0,16:58.1,com.sec.android.app.shealth,41:40.9,3e5b9009-0775-4ed7-9b9e-7cb667191389.source_info.json,1.3714068,1422.28,61.739998,1955,VfS0qUERdZ,com.sec.android.app.shealth,0,3e5b9009-0775-4ed7-9b9e-7cb667191389.achievement.json,3e5b9009-0775-4ed7-9b9e-7cb667191389,1.62415E+12
4569,e72b6152-2a4c-4651-8ca0-a21208b59b9b.binning_data.json,2209159,10000,44,00:01.0,com.sec.android.app.shealth,00:01.0,,1.5211623,3360.49,146.71,4525,EIy+BrLOSY,com.sec.android.app.shealth,0,e72b6152-2a4c-4651-8ca0-a21208b59b9b.achievement.json,e72b6152-2a4c-4651-8ca0-a21208b59b9b,1.62484E+12
1336,07fcdd68-52b6-4015-bd0e-c8b07d932662.binning_data.json,726965,10000,0,06:28.4,com.sec.android.app.shealth,19:29.0,07fcdd68-52b6-4015-bd0e-c8b07d932662.source_info.json,1.3296503,966.61,42.739998,1336,VfS0qUERdZ,com.sec.android.app.shealth,0,07fcdd68-52b6-4015-bd0e-c8b07d932662.achievement.json,07fcdd68-52b6-4015-bd0e-c8b07d932662,1.62406E+12
2745,ed2f5f8c-950e-4c18-a639-cbe09a9654a2.binning_data.json,1431746,10000,41,00:01.3,com.sec.android.app.shealth,00:01.3,,1.409111,2017.49,89.89,2704,EIy+BrLOSY,com.sec.android.app.shealth,0,ed2f5f8c-950e-4c18-a639-cbe09a9654a2.achievement.json,ed2f5f8c-950e-4c18-a639-cbe09a9654a2,1.62475E+12
3110,e503217e-c253-4d0f-aac7-908b874aa4ab.binning_data.json,1611350,10000,22,00:02.3,com.sec.android.app.shealth,00:02.3,,1.3933468,2245.17,103.49998,3088,EIy+BrLOSY,com.sec.android.app.shealth,0,e503217e-c253-4d0f-aac7-908b874aa4ab.achievement.json,e503217e-c253-4d0f-aac7-908b874aa4ab,1.62467E+12
1569,894c3368-721c-49d6-9559-72df04f08822.binning_data.json,793077,10000,0,30:11.3,com.sec.android.app.shealth,30:11.3,,1.434778,1137.89,49.139996,1569,EIy+BrLOSY,com.sec.android.app.shealth,0,894c3368-721c-49d6-9559-72df04f08822.achievement.json,894c3368-721c-49d6-9559-72df04f08822,1.6251E+12
9094,3b636140-d842-4edb-b489-64e3e86f5848.binning_data.json,4375352,10000,433,32:39.1,com.sec.android.app.shealth,02:56.5,3b636140-d842-4edb-b489-64e3e86f5848.source_info.json,1.5491369,6778.02,314.73996,8661,VfS0qUERdZ,com.sec.android.app.shealth,0,3b636140-d842-4edb-b489-64e3e86f5848.achievement.json,3b636140-d842-4edb-b489-64e3e86f5848,1.62441E+12
3901,a455cefa-4a3c-4a19-a435-02c524b3de2c.binning_data.json,2079781,10000,1,11:13.4,com.sec.android.app.shealth,11:21.5,a455cefa-4a3c-4a19-a435-02c524b3de2c.source_info.json,1.3568447,2821.94,123.87998,3900,VfS0qUERdZ,com.sec.android.app.shealth,0,a455cefa-4a3c-4a19-a435-02c524b3de2c.achievement.json,a455cefa-4a3c-4a19-a435-02c524b3de2c,1.62397E+12
